,Lat,Lng,Total # of Restaurants
381,37.421857,-123.017222,0
382,37.421857,-122.924601,0
383,37.421857,-122.83198,0
384,37.421857,-122.73935900000001,0
385,37.421857,-122.64673799999998,0
386,37.421857,-122.55411699999999,14
387,37.421857,-122.461496,87
388,37.421857,-122.368875,56
389,37.421857,-122.27625400000001,378
390,37.421857,-122.183633,794
391,37.421857,-122.091012,852
392,37.421857,-121.998391,1000
393,37.421857,-121.90576999999999,1600
394,37.421857,-121.813149,473
395,37.421857,-121.720528,3
396,37.421857,-121.62790700000001,5
397,37.421857,-121.53528600000001,1
398,37.421857,-121.44266499999999,1
399,37.349367,-123.109843,0
400,37.349367,-123.017222,0
401,37.349367,-122.924601,0
402,37.349367,-122.83198,0
403,37.349367,-122.73935900000001,0
404,37.349367,-122.64673799999998,0
405,37.349367,-122.55411699999999,0
406,37.349367,-122.461496,12
407,37.349367,-122.368875,11
408,37.349367,-122.27625400000001,41
409,37.349367,-122.183633,314
410,37.349367,-122.091012,853
411,37.349367,-121.998391,1500
412,37.349367,-121.90576999999999,2200
413,37.349367,-121.813149,951
414,37.349367,-121.720528,40
415,37.349367,-121.62790700000001,6
416,37.349367,-121.53528600000001,1
417,37.349367,-121.44266499999999,1
418,37.276877,-123.109843,0
419,37.276877,-123.017222,0
420,37.276877,-122.924601,0
421,37.276877,-122.83198,0
422,37.276877,-122.73935900000001,0
423,37.276877,-122.64673799999998,0
424,37.276877,-122.55411699999999,0
425,37.276877,-122.461496,0
426,37.276877,-122.368875,11
427,37.276877,-122.27625400000001,7
428,37.276877,-122.183633,6
429,37.276877,-122.091012,310
430,37.276877,-121.998391,1200
431,37.276877,-121.90576999999999,1800
432,37.276877,-121.813149,1000
433,37.276877,-121.720528,108
434,37.276877,-121.62790700000001,6
435,37.276877,-121.53528600000001,0
436,37.276877,-121.44266499999999,0
437,37.204387,-123.109843,0
438,37.204387,-123.017222,0
439,37.204387,-122.924601,0
440,37.204387,-122.83198,0
441,37.204387,-122.73935900000001,0
442,37.204387,-122.64673799999998,0
443,37.204387,-122.55411699999999,0
444,37.204387,-122.461496,0
445,37.204387,-122.368875,14
446,37.204387,-122.27625400000001,8
447,37.204387,-122.183633,17
448,37.204387,-122.091012,111
449,37.204387,-121.998391,445
450,37.204387,-121.90576999999999,583
451,37.204387,-121.813149,389
452,37.204387,-121.720528,143
453,37.204387,-121.62790700000001,101
454,37.204387,-121.53528600000001,0
455,37.204387,-121.44266499999999,0
456,37.131896999999995,-123.109843,0
457,37.131896999999995,-123.017222,0
458,37.131896999999995,-122.924601,0
459,37.131896999999995,-122.83198,0
460,37.131896999999995,-122.73935900000001,0
461,37.131896999999995,-122.64673799999998,0
462,37.131896999999995,-122.55411699999999,0
463,37.131896999999995,-122.461496,0
464,37.131896999999995,-122.368875,7
465,37.131896999999995,-122.27625400000001,1
466,37.131896999999995,-122.183633,17
467,37.131896999999995,-122.091012,66
468,37.131896999999995,-121.998391,108
469,37.131896999999995,-121.90576999999999,58
470,37.131896999999995,-121.813149,56
471,37.131896999999995,-121.720528,110
472,37.131896999999995,-121.62790700000001,121
473,37.131896999999995,-121.53528600000001,4
474,37.131896999999995,-121.44266499999999,0
475,37.059407,-123.109843,0
476,37.059407,-123.017222,0
477,37.059407,-122.924601,0
478,37.059407,-122.83198,0
479,37.059407,-122.73935900000001,0
480,37.059407,-122.64673799999998,0
481,37.059407,-122.55411699999999,0
482,37.059407,-122.461496,0
483,37.059407,-122.368875,0
484,37.059407,-122.27625400000001,0
485,37.059407,-122.183633,18
486,37.059407,-122.091012,197
487,37.059407,-121.998391,319
488,37.059407,-121.90576999999999,141
489,37.059407,-121.813149,7
490,37.059407,-121.720528,56
491,37.059407,-121.62790700000001,217
492,37.059407,-121.53528600000001,144
493,37.059407,-121.44266499999999,1
494,36.986917,-123.109843,0
495,36.986917,-123.017222,0
496,36.986917,-122.924601,0
497,36.986917,-122.83198,0
498,36.986917,-122.73935900000001,0
499,36.986917,-122.64673799999998,0
500,36.986917,-122.55411699999999,0
501,36.986917,-122.461496,0
502,36.986917,-122.368875,0
503,36.986917,-122.27625400000001,0
504,36.986917,-122.183633,6
505,36.986917,-122.091012,241
506,36.986917,-121.998391,429
507,36.986917,-121.90576999999999,167
508,36.986917,-121.813149,144
509,36.986917,-121.720528,130
510,36.986917,-121.62790700000001,122
511,36.986917,-121.53528600000001,144
