Wooly Pig,"['Sandwiches', 'Coffee & Tea', 'Breakfast & Brunch']",San Francisco,94107.0,37.760662161462,-122.38842114181801,4.5,637,$,Id2aVe9l5YQlHtlXnGye-Q
Acquerello,"['Italian', 'Wine Bars', 'Venues & Event Spaces']",San Francisco,94109.0,37.79157,-122.42132959999998,4.5,1067,$$$$,mDM7-ho67ePJXd5TodtCOg
Il Casaro Pizzeria & Mozzarella Bar - North Beach Location,"['Italian', 'Pizza']",San Francisco,94133.0,37.79852,-122.40739,4.5,1043,$$,I8T8aoAsFQYwQiRvLBayFA
The Pawn Shop,"['Speakeasies', 'Wine Bars', 'Tapas Bars']",San Francisco,94103.0,37.78106,-122.40834,4.5,133,$$,DLjqwgeEd4BxZT7qJKvWUw
Freddie's Sandwiches,['Sandwiches'],San Francisco,94133.0,37.8052368164062,-122.410316467285,4.5,458,$,yGEc-cj9Quk5mUh7maoPXA
Montesacro Pinseria SF,['Pizza'],San Francisco,94103.0,37.78159760000001,-122.410121,4.5,615,$$,ikkPHZqQQ2UU2hGFyBuffQ
Sotto Mare Oysteria & Seafood,"['Seafood', 'Italian', 'Bars']",San Francisco,94133.0,37.79979,-122.40834,4.5,3511,$$,8dUaybEPHsZMgr1iKgqgMQ
Chez Maman East,"['French', 'Burgers', 'Creperies']",San Francisco,94107.0,37.7624388911845,-122.396692272318,4.5,2026,$$,UTVDbZv-qiHU06sDkoel3g
Elixiria,"['Juice Bars & Smoothies', 'Breakfast & Brunch', 'Caterers']",San Francisco,94105.0,37.7920625403238,-122.396727216602,4.5,264,$$,FAmqgIJekYlMmVSVdi-R3A
Tuba Express Mediterranean Kebab & Gyro,"['Mediterranean', 'Turkish', 'Middle Eastern']",San Francisco,94109.0,37.79081,-122.42008,4.5,161,$$,8wXA5hCMasPDEQYvwB3NYw
The Italian Homemade Company,"['Italian', 'Pasta Shops', 'Desserts']",San Francisco,94123.0,37.79742,-122.43097,4.5,816,$$,FRpULkKmvD9caSKabQzq5w
Lazy Bear,['American (New)'],San Francisco,94110.0,37.76041,-122.41969,4.5,564,$$$$,uBaXDGwJPUkOSLWxS2vZ9Q
La Folie,"['French', 'Wine Bars']",San Francisco,94109.0,37.798136,-122.422036,4.5,1432,$$$$,eSixRz7xcwtFdeh9hN5TyQ
Hot Zushi,"['Japanese', 'Sushi Bars']",San Francisco,94117.0,37.7718463870564,-122.43096102029101,4.5,138,$$,S91SPDiE-VGsOQHVBEuKHw
La FusiÃÂ³n,"['Latin American', 'Desserts', 'Breakfast & Brunch']",San Francisco,94104.0,37.7916357455614,-122.403691572642,4.5,1095,$$,DLpHmXitZxDLdqTwydUSdA
Frascati,"['American (New)', 'Mediterranean']",San Francisco,94109.0,37.79835891723629,-122.419105529785,4.5,1163,$$$,xdAgbLBQcffIxI8mYgjT1Q
Rooster & Rice,"['Chicken Shop', 'Thai']",San Francisco,94123.0,37.79790119973379,-122.43605540929701,4.5,419,$$,-Wei8JiA-RBzuSnO_9X0FQ
Rosamunde Sausage Grill - Haight St,"['Hot Dogs', 'German', 'Beer Bar']",San Francisco,94117.0,37.77183,-122.43113999999998,4.5,1599,$,g9LSMqUK5dkUcmpgTnU-dQ
Spice of America,"['Indian', 'Halal']",San Francisco,94103.0,37.7732557,-122.4214596,4.5,153,$$,_gHU7DSK2gFVRLx651c8ig
Benu,"['American (New)', 'Asian Fusion']",San Francisco,94105.0,37.78540200000001,-122.399068,4.5,1031,$$$$,q2EbLD93gEO5uXXx7Pk3bw
Belly Good Cafe & Crepes,"['Ice Cream & Frozen Yogurt', 'Creperies', 'Bubble Tea']",San Francisco,94115.0,37.785091,-122.430635,4.5,1272,$,V6L23CJAM9cm0zzWAhSwVA
Carmel Pizza Company,['Pizza'],San Francisco,94133.0,37.80759702991929,-122.41732835769699,4.5,766,$$,IhVsaINdU_Syqp23JuKzrA
Teds Market & Deli,"['Delis', 'Sandwiches', 'Breakfast & Brunch']",San Francisco,94103.0,37.77287000000001,-122.41623,4.5,464,$,2b4YW6ZKXq45TfZA53_zXg
Surisan,"['Korean', 'American (New)', 'Breakfast & Brunch']",San Francisco,94133.0,37.80678,-122.41756,4.5,1475,$$,i09UMzccKgyLwGYKDVP28w
Kitava,"['Gluten-Free', 'American (New)']",San Francisco,94110.0,37.76483,-122.4193,4.5,314,$$,BC5aw6Kdt6pxz02du20DyA
MaMo,"['American (New)', 'Colombian', 'Venezuelan']",San Francisco,94123.0,37.80384,-122.43366,5.0,49,$$,mdVq5YJoRhbQl2DD9BPQHw
Frances,"['American (New)', 'Desserts', 'Wine Bars']",San Francisco,94114.0,37.7627220154927,-122.432276324008,4.5,1488,$$$,dMlsQsPU8Y_oiPYC5hHi2A
Tselogs,['Filipino'],San Francisco,94102.0,37.78656,-122.41295,4.5,554,$,-Y_9AT6NpvHz15vd4B0CbA
Urban Ritual,"['Bubble Tea', 'Cafes']",San Francisco,94102.0,37.77576,-122.42585,4.5,408,$,VQPtsRVNTFkFptcXDTtIyg
The Flying Falafel,"['Falafel', 'Vegan']",San Francisco,94103.0,37.78124879999999,-122.411304,4.5,864,$,y97u_oCqjAjstK4YOY9ygA
Eight Tables by George Chen,['Chinese'],San Francisco,94133.0,37.7984516089432,-122.40778133018401,4.5,96,$$$$,2FOv-XAZ2sMIlrE5xJc1Hw
Oma San Francisco Station,"['Sushi Bars', 'Japanese']",San Francisco,94115.0,37.785103,-122.430974,4.5,117,NAN,md19wETpeFhjh4MkFi029A
Ben Thai Cafe,['Thai'],San Francisco,94109.0,37.78924,-122.42065,4.5,429,$$,tZmiZw49SNRVzF6h1Jfx9g
Fog Harbor Fish House,"['Seafood', 'Bars']",San Francisco,94133.0,37.809041,-122.410233,4.0,5418,$$,f-m7-hyFzkf0HSEeQ2s-9A
San Pancho's Tacos,"['Food Trucks', 'Tacos']",San Francisco,94124.0,37.7402754,-122.4061328,5.0,61,$,5B87gQ66UJzwQU_es5enDQ
Sweet Maple,"['American (Traditional)', 'Breakfast & Brunch', 'Sandwiches']",San Francisco,94115.0,37.785735681426,-122.43507770852,4.0,3417,$$,-DrR38H1Abk0wCyu9XOLug
Roli Roti Gourmet Rotisserie,"['Sandwiches', 'Food Trucks', 'Specialty Food']",San Francisco,94105.0,37.795398235987,-122.392534017563,4.5,1413,$$,fK6ZCDLTFtPV9HT4oAo5-w
Isla Vida,"['Caribbean', 'Cuban']",San Francisco,94115.0,37.78179,-122.43285,4.5,181,$$,-Ac4uQxIirQMD9hQatNRVw
Brenda's French Soul Food,"['Breakfast & Brunch', 'French', 'Soul Food']",San Francisco,94102.0,37.7829016035273,-122.419043442957,4.0,10554,$$,lJAGnYzku5zSaLnQ_T6_GQ
Sutter St. Cafe,"['Cafes', 'Delis']",San Francisco,94108.0,37.7894760577176,-122.407699611023,4.5,182,$,dv9gdJrBG7SZ8aWYkxG_3w
Palermo II Delicatessen,"['Delis', 'Sandwiches', 'Italian']",San Francisco,94133.0,37.79894,-122.4086,5.0,51,NAN,zYUgm_qOcly8mhLdTSFnKw
House of Prime Rib,"['American (Traditional)', 'Steakhouses', 'Wine Bars']",San Francisco,94109.0,37.79338,-122.4225,4.0,6879,$$$,oT08T3Vpn1I7jDmrBBRMTw
HRD,"['Korean', 'Asian Fusion', 'Mexican']",San Francisco,94107.0,37.7811065758548,-122.395329724426,4.0,2454,$$,bUr4iq2mKKiBOu2HKynylg
Two Sons' Sandwiches,['Sandwiches'],San Francisco,94103.0,37.7643318,-122.4062195,4.5,208,$,uhih68N9hjl9RWd-Bi8NhA
Garaje,"['Mexican', 'Burgers', 'Breakfast & Brunch']",San Francisco,94107.0,37.781752952057,-122.396121970462,4.5,1500,$$,tnhfDv5Il8EaGSXZGiuQGg
Kibatsu,"['Sushi Bars', 'Japanese']",San Francisco,94117.0,37.77243,-122.42898999999998,4.5,122,NAN,qvGED1YA1lt_wrbP92RVZA
An Japanese Restaurant,"['Sushi Bars', 'Japanese']",San Francisco,94115.0,37.7850737295732,-122.428939975798,4.5,131,$$$$,zWpV3kVw1CO9Fb3JroQpqw
Hopwater Distribution,"['American (Traditional)', 'Beer Bar']",San Francisco,94108.0,37.78995385287821,-122.411338984966,4.5,686,$$,mbmJRdYFNUKeV_toR0KfVA
Pushkin,"['Russian', 'Ukrainian']",San Francisco,94104.0,37.79098,-122.40384,4.5,166,$,agUov63fwIufCj8t6pCivg
Atelier Crenn,['French'],San Francisco,94123.0,37.7983315559591,-122.43587952107201,4.5,691,$$$$,c3khi7kxBaA2ATUuMjtMZA
Birdsong,['American (New)'],San Francisco,94103.0,37.7793175,-122.4105235,4.5,173,$$$$,XVPiXV_TPivnr9szB5kc-A
Daeho Kalbijjim & Beef Soup,"['Korean', 'Soup', 'Noodles']",San Francisco,94115.0,37.78601,-122.42858,4.5,290,$$,dY0Mc_PHH6nLENvWmVtwxQ
Don Pistos,['Mexican'],San Francisco,94133.0,37.80078,-122.40784,4.0,1761,$$,voFE8DTKsTFi1Vzm_zzd0Q
Tommaso's,"['Italian', 'Pizza', 'Seafood']",San Francisco,94133.0,37.797778,-122.405204,4.0,1561,$$,MWaeG9XhJdFzbcrSrpF6mQ
Khai,['Vietnamese'],San Francisco,94103.0,37.77039,-122.40269,4.5,132,$$$$,hE6Fc0ts1-EPaCvRW4Gt8w
Bouche,['French'],San Francisco,94108.0,37.79020105654229,-122.40736126899701,4.5,755,$$$,mfD5wlWS6tY92FJHDcBwJA
Scullery,"['Coffee & Tea', 'Breakfast & Brunch']",San Francisco,94102.0,37.7864,-122.41451,4.5,195,$,zeO401-Y-2BLiIv9bl0UkA
