,Name,Category,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
166,The Parish Cafe,"Cajun/Creole,Breakfast&Brunch,Seafood",38.6071701,-122.8703384,4,494,$$,HNWlZ2e0RDaV5i2i8X2c8Q,Sonoma
167,El Farolito,Mexican,38.61116,-122.86916,4,228,$$,dfQ670Aoi-7DGJJUQJv2SA,Sonoma
169,OTORO,"SushiBars,Japanese",38.62606322,-122.872408,4.5,54,$$,PFWFUm6yiMZmwwTtP1Vv9A,Sonoma
172,Costeaux French Bakery & Cafe,"Bakeries,French",38.61254,-122.87156,4,636,$$,2Dl2PEW-0gLIpP0dm83IiA,Sonoma
174,The Wurst Restaurant,"American(New),IceCream&FrozenYogurt",38.6100309,-122.8714253,4,495,$$,i7CmLtEWrbQRTmfM7_eUUw,Sonoma
176,Spoonbar,"Seafood,American(New)",38.60906,-122.87058,3.5,496,$$$,AHWNvNzGJG6Ty9GpWjhMbQ,Sonoma
177,Dry Creek Kitchen,American(New),38.6107621,-122.8708414,3.5,593,$$$$,jDsT7OxH08Ly6SPDzPykbw,Sonoma
178,The Taste of Tea,"Ramen,Izakaya",38.6121049,-122.8707307,4.5,118,$$,JTMIkRaWcbxbwWcngv9ajA,Sonoma
179,Taqueria Guadalajara,Mexican,38.60561752,-122.8694077,4,114,$,8HyQjbPVr8c-44rSmOvzvA,Sonoma
180,Thai Orchid Cuisine,Thai,38.60895223,-122.8721696,4,112,$$,XIr74FwAMI97guJobZvhBw,Sonoma
182,The Gallery  Bar & Bistro at Studio Barndiva,"Mediterranean,American(New)",38.60978,-122.86956,4.5,13,$$$,8EKfY_O9dfAIIGz8vP72GQ,Sonoma
183,Pizzando,Pizza,38.6111259,-122.8709412,3.5,230,$$,qGrfBev4crtPOIGlGfOivw,Sonoma
184,Mateo's Cocina Latina,"French,LatinAmerican",38.609292,-122.869978,3.5,362,$$,__7lzpKRHtpKsMolHwonCQ,Sonoma
185,Downtown Bakery & Creamery,"Bakeries,IceCream&FrozenYogurt,Breakfast&Brunch",38.610994,-122.869091,4,354,$,suMdppMx9ybpsuhEKYcUOw,Sonoma
187,The Nectary,"Live/RawFood,Vegetarian",38.6111,-122.86929,4.5,10,$$,Ic6qFb0sAIQs8SsJyp8BYw,Sonoma
188,Healdsburger,"Burgers,HotDogs,Sandwiches",38.6040749,-122.865225,3.5,240,$$,r-Ml_3Wpq3hCCVcjZi3NtQ,Sonoma
189,Giorgio's Restaurant,"Pizza,Italian",38.59787,-122.85383,2.5,128,$$,6fcbuyfR0_wMh5xyKXxcuA,Sonoma
190,Sake O,"Japanese,SushiBars",38.61426,-122.87283,3.5,105,$$,ud0yeyVsIpHTKsduqqs6Zw,Sonoma
192,Flakey Cream Do-Nuts & Coffee Shop,"Donuts,Breakfast&Brunch",38.6134967,-122.8702697,4,76,$,iSU64FRPESenz7bwksBdZQ,Sonoma
193,Taqueria El Sombrero,Mexican,38.6101699,-122.86958,3.5,169,$,INvIaBFnAvGxzTXFWHzGvA,Sonoma
195,Hartford Family Winery Tasting Room,Tapas/SmallPlates,38.6110848,-122.870882,4.5,10,$$$,dytbAzmDae90pfZHwB4mLw,Sonoma
196,Singletree Cafe,"Breakfast&Brunch,American(Traditional),Diners",38.6072269,-122.8696681,3.5,217,$$,KHwukk3_pJwIXFw0k5-9Ng,Sonoma
197,Casa Del Mole,Mexican,38.61347961,-122.8699493,3.5,20,$,N20Nx9h8EQ8BzEISCjVAPw,Sonoma
198,El Taco Grande,Mexican,38.6129715,-122.8702509,3.5,53,$,kxGSfYWuSuFBplI48mOztw,Sonoma
199,Round Table Pizza,Pizza,38.62874,-122.87061,3,22,$$,8uu3N8AZtEThuAaTrqaN3A,Sonoma
200,La Pizza,"Pizza,Sandwiches",38.605932,-122.8691755,3.5,75,$$,QhXwxjIugVXCnpeZWIgx0w,Sonoma
