Row Labels,Count of Category
"['American (Traditional)', 'Music Venues', 'Venues & Event Spaces']",1
"['American (Traditional)', 'New Mexican Cuisine', 'Burgers']",1
"['American (Traditional)', 'Pancakes']",1
"['American (Traditional)', 'Pizza', 'Seafood']",1
"['American (Traditional)', 'Pizza']",1
"['American (Traditional)', 'Pubs', 'Burgers']",2
"['American (Traditional)', 'Pubs', 'Gastropubs']",1
"['American (Traditional)', 'Pubs', 'Tex-Mex']",1
"['American (Traditional)', 'Pubs']",5
"['American (Traditional)', 'Salad', 'Bars']",1
"['American (Traditional)', 'Salad', 'Breakfast & Brunch']",2
"['American (Traditional)', 'Salad', 'Sandwiches']",1
"['American (Traditional)', 'Sandwiches', 'Bars']",1
"['American (Traditional)', 'Sandwiches', 'Breakfast & Brunch']",2
"['American (Traditional)', 'Sandwiches', 'Burgers']",1
"['American (Traditional)', 'Sandwiches', 'Coffee & Tea']",1
"['American (Traditional)', 'Sandwiches', 'Salad']",2
"['American (Traditional)', 'Sandwiches', 'Soup']",1
"['American (Traditional)', 'Seafood', 'Bars']",1
"['American (Traditional)', 'Seafood', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Seafood', 'Steakhouses']",4
"['American (Traditional)', 'Seafood']",1
"['American (Traditional)', 'Soup', 'Sandwiches']",1
"['American (Traditional)', 'Sports Bars', 'Arcades']",1
"['American (Traditional)', 'Sports Bars', 'Breakfast & Brunch']",2
"['American (Traditional)', 'Sports Bars', 'Burgers']",3
"['American (Traditional)', 'Sports Bars', 'Cocktail Bars']",1
"['American (Traditional)', 'Sports Bars', 'Gastropubs']",1
"['American (Traditional)', 'Sports Bars', 'Pool Halls']",1
"['American (Traditional)', 'Sports Bars', 'Sandwiches']",1
"['American (Traditional)', 'Sports Bars']",7
"['American (Traditional)', 'Steakhouses', 'Cocktail Bars']",1
"['American (Traditional)', 'Steakhouses', 'Desserts']",1
"['American (Traditional)', 'Steakhouses', 'Salad']",1
"['American (Traditional)', 'Steakhouses', 'Venues & Event Spaces']",1
"['American (Traditional)', 'Steakhouses', 'Wine Bars']",2
"['American (Traditional)', 'Steakhouses']",2
"['American (Traditional)', 'Tapas/Small Plates', 'Cocktail Bars']",1
"['American (Traditional)', 'Tex-Mex']",1
"['American (Traditional)', 'Vegan', 'Gluten-Free']",1
"['American (Traditional)', 'Venues & Event Spaces', 'Breakfast & Brunch']",2
"['American (Traditional)', 'Venues & Event Spaces', 'Steakhouses']",1
"['American (Traditional)', 'Venues & Event Spaces']",2
"['American (Traditional)', 'Wine Bars', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Wine Bars', 'Tapas/Small Plates']",1
"['American (Traditional)', 'Wine Bars', 'Venues & Event Spaces']",1
"['American (Traditional)', 'Wine Bars']",3
"['American (Traditional)', 'Wineries', 'Cafes']",1
"['American (Traditional)', 'Wraps']",1
['American (Traditional)'],131
"['Arabian', 'Mediterranean', 'Lebanese']",1
"['Arcades', 'Bars', 'Hawaiian']",1
"['Argentine', 'Burgers', 'Empanadas']",1
"['Argentine', 'Coffee & Tea', 'Breakfast & Brunch']",1
"['Argentine', 'Colombian', 'Food Stands']",1
"['Argentine', 'Empanadas']",2
"['Argentine', 'Food Trucks', 'Empanadas']",1
"['Argentine', 'Salad', 'Soup']",1
"['Art Galleries', 'Food Stands']",1
"['Asian Fusion', 'American (New)', 'Bars']",1
"['Asian Fusion', 'American (New)', 'Ramen']",1
"['Asian Fusion', 'Barbeque', 'Food Trucks']",1
"['Asian Fusion', 'Bars', 'American (Traditional)']",1
"['Asian Fusion', 'Bars']",2
"['Asian Fusion', 'Breakfast & Brunch']",1
"['Asian Fusion', 'Burgers']",1
"['Asian Fusion', 'Burmese', 'Barbeque']",1
"['Asian Fusion', 'Burmese', 'Chinese']",1
"['Asian Fusion', 'Cajun/Creole', 'Taiwanese']",1
"['Asian Fusion', 'Cambodian', 'Sports Bars']",1
"['Asian Fusion', 'Caterers']",1
"['Asian Fusion', 'Chinese', 'Bars']",1
"['Asian Fusion', 'Chinese', 'Fast Food']",1
"['Asian Fusion', 'Chinese', 'Gluten-Free']",1
"['Asian Fusion', 'Chinese', 'Thai']",1
"['Asian Fusion', 'Chinese', 'Vietnamese']",1
"['Asian Fusion', 'Chinese']",6
"['Asian Fusion', 'Cocktail Bars', 'Tapas/Small Plates']",1
"['Asian Fusion', 'Cocktail Bars']",1
"['Asian Fusion', 'Dance Clubs']",1
"['Asian Fusion', 'Desserts', 'Coffee & Tea']",1
"['Asian Fusion', 'Dim Sum']",2
"['Asian Fusion', 'Diners']",1
"['Asian Fusion', 'Food Trucks']",4
"['Asian Fusion', 'French', 'Breakfast & Brunch']",1
"['Asian Fusion', 'Hawaiian', 'Poke']",1
"['Asian Fusion', 'Hot Dogs', 'Food Trucks']",1
"['Asian Fusion', 'Indian', 'Vietnamese']",1
"['Asian Fusion', 'Japanese']",1
"['Asian Fusion', 'Juice Bars & Smoothies', 'Bubble Tea']",1
"['Asian Fusion', 'Kebab', 'Comfort Food']",1
"['Asian Fusion', 'Korean', 'Lounges']",1
"['Asian Fusion', 'Korean', 'Vietnamese']",1
"['Asian Fusion', 'Korean']",1
"['Asian Fusion', 'Malaysian']",1
"['Asian Fusion', 'Noodles', 'Bubble Tea']",1
"['Asian Fusion', 'Noodles', 'Korean']",1
"['Asian Fusion', 'Noodles', 'Ramen']",1
"['Asian Fusion', 'Noodles']",4
"['Asian Fusion', 'Poke', 'Delis']",1
"['Asian Fusion', 'Poke', 'Sushi Bars']",1
"['Asian Fusion', 'Pubs']",1
"['Asian Fusion', 'Ramen', 'Noodles']",1
"['Asian Fusion', 'Ramen']",1
"['Asian Fusion', 'Salad', 'Soup']",1
"['Asian Fusion', 'Sandwiches', 'Cafes']",1
"['Asian Fusion', 'Sandwiches', 'Pizza']",1
"['Asian Fusion', 'Seafood', 'Poke']",1
"['Asian Fusion', 'Singaporean', 'Cocktail Bars']",1
"['Asian Fusion', 'Singaporean', 'Malaysian']",1
"['Asian Fusion', 'Sushi Bars', 'Japanese']",1
"['Asian Fusion', 'Sushi Bars', 'Ramen']",1
"['Asian Fusion', 'Sushi Bars']",1
"['Asian Fusion', 'Taiwanese', 'Juice Bars & Smoothies']",1
"['Asian Fusion', 'Thai', 'Laotian']",1
"['Asian Fusion', 'Thai', 'Malaysian']",3
"['Asian Fusion', 'Thai', 'Noodles']",1
"['Asian Fusion', 'Thai', 'Vietnamese']",1
"['Asian Fusion', 'Thai']",2
"['Asian Fusion', 'Tiki Bars']",1
"['Asian Fusion', 'Venues & Event Spaces']",1
"['Asian Fusion', 'Vietnamese', 'Chicken Wings']",1
"['Asian Fusion', 'Vietnamese', 'Filipino']",1
"['Asian Fusion', 'Vietnamese', 'Thai']",1
"['Asian Fusion', 'Vietnamese']",3
"['Asian Fusion', 'Wine Bars', 'Sri Lankan']",1
['Asian Fusion'],19
"['Austrian', 'German', 'Modern European']",1
"['Bagels', 'Bakeries', 'Breakfast & Brunch']",1
"['Bagels', 'Breakfast & Brunch', 'Sandwiches']",5
"['Bagels', 'Breakfast & Brunch']",2
"['Bagels', 'Cafes', 'Bakeries']",1
"['Bagels', 'Cafes']",1
"['Bagels', 'Coffee & Tea', 'Breakfast & Brunch']",4
"['Bagels', 'Coffee & Tea', 'Sandwiches']",3
"['Bagels', 'Delis', 'Sandwiches']",1
"['Bagels', 'Desserts', 'Sandwiches']",1
"['Bagels', 'Kosher', 'Vegetarian']",1
