,Name,Lat_Restaurant,Lng_Restaurant,Address,Zip,Rating,# of Reviews,Price Level,Category,Yelp ID,City,County
623,Subway,38.58199,-121.52214,1036 W Capitol Ave,95691,3,15,$,Fast Food,xzWz-uIkPD4WvPeYI94WEQ,West Sacramento,Yolo County
624,Papa Murphy's,38.55263,-121.53626,2455 Jefferson Boulevard,95691,3,33,$,Pizza,9eOiL7GnNuXYIglYHGHvrA,West Sacramento,Yolo County
625,McDonald's,38.58074,-121.5311373,1700 W Capitol Ave,95691,1.5,54,$,Fast Food,Cu-G29vPW7vTcAOc2Yb0FA,West Sacramento,Yolo County
626,A&W,38.579559,-121.531105,812 Westacre Rd,95691,2,3,unavailable,Burgers,wy1lB87ugguNH9Pp3guF5g,West Sacramento,Yolo County
627,McDonald's,38.5569484,-121.5403142,2244 Lake Washington Blvd,95691,1.5,115,$,Burgers,hQZIaGWYVHiXfZVpGUp9Tw,West Sacramento,Yolo County
628,Taco Bell,38.55639,-121.54065,2246 Lake Washington Blvd.,95691,2.5,37,$,Fast Food,uXojxbxS4-zNda_OzFbv5w,West Sacramento,Yolo County
629,Subway,38.55068249,-121.5385905,2155 Town Center Plz,95691,2,41,$,Fast Food,TjhoYAHqvs4oOHazrQ0vOA,West Sacramento,Yolo County
630,boon eat + drink,38.50223,-122.99835,16248 Main St,95446,4.5,795,$$,American (New),xgawPTsisHDLwovF5pZroA,Guerneville,Sonoma County
631,BROT modern german,38.50217862,-122.9976591,16218 Main St,95446,4.5,14,unavailable,German,adn8pX9_OB8Zm5ARExL4-A,Guerneville,Sonoma County
632,Betty Spaghetti,38.50342755,-123.0001433,16390 4th St,95446,4,180,$$,Italian,zaiMJJM3SChP4qoCCROa7g,Guerneville,Sonoma County
633,Timberline Restaurant,38.50318673,-123.0003636,16440 4th St,95446,4.5,123,$$,Comfort Food,zPNPVTvOPoN3GW0-oyINew,Guerneville,Sonoma County
634,El Barrio,38.50205764,-122.9977255,16230 Main St,95446,4.5,80,$$,Cocktail Bars,K1PG8_2kUatkrIK7Vmn2ew,Guerneville,Sonoma County
635,Agriculture Public House,38.5018506,-123.0021001,16467 Hwy 116,95446,4,100,$$$,American (New),aZilztGVgw657pe5r6ISAg,Guerneville,Sonoma County
636,Patâs International,38.50218573,-122.9983576,16236 Main St,95446,4.5,16,unavailable,Bars,z_nAhjJaF15G1Cwm3ty24Q,Guerneville,Sonoma County
637,Main Street Bistro,38.50212,-122.9984181,16280 Main St,95446,3.5,298,$$,Pizza,B7W2x5IaGJbIp3W60phzYg,Guerneville,Sonoma County
638,Koala's Fine Food,38.501362,-123.000049,16380 Mill St,95446,4,113,$,Burgers,U7NccB1ohQqU5y1EEQLqDg,Guerneville,Sonoma County
639,Big Bottom Market,38.50242,-122.99832,16228 Main St,95446,4,303,$$,"Beer, Wine & Spirits",GZRd4LhZeROsWLcr2846nA,Guerneville,Sonoma County
640,Guerneville Taco Truck,38.50182723,-123.0011414,16632 Main St,95446,4.5,219,$,Mexican,4JFxWKGptINgDL146YTzhA,Guerneville,Sonoma County
641,La Bodeguita,38.50136185,-123.0000458,16380 Mill St,95446,3.5,34,$,Mexican,aspvCoiU-Cxwtc8cPBHQ3g,Guerneville,Sonoma County
642,Smart Pizza,38.50165348,-122.9972414,16205 1st St,95446,3,164,$$,Pizza,nF2Tiu0qtuaKmXl_Lwkh1Q,Guerneville,Sonoma County
643,Taqueria La Tapatia,38.50180485,-123.0045662,16632 Hwy 116,95446,3.5,103,$$,Mexican,CTIfBMxpgppW9Ctk_YddZw,Guerneville,Sonoma County
644,Flavors Unlimited,38.5021456,-123.0010969,16450 Main St,95446,4.5,130,$,Ice Cream & Frozen Yogurt,mUAbIYdpCdpPR0zM8IU23g,Guerneville,Sonoma County
645,River Inn Grill,38.50206,-122.99622,16141 Main St,95446,3.5,170,$$,Breakfast & Brunch,3yVf6Dvs2VaPzht2x0eB1Q,Guerneville,Sonoma County
646,Coffee Bazaar,38.50262222,-122.9973292,14045 Armstrong Woods Rd,95446,4,194,$,Coffee & Tea,LK6lAse_0OGJFbpgJwNT5A,Guerneville,Sonoma County
647,Safeway,38.50090431,-123.0007796,16405 Hwy 116,95446,2,224,$$,Grocery,si5BcJaTX2GBzP0t9Eny_A,Guerneville,Sonoma County
648,Subway,38.502258,-122.999069,16316 Main St,95446,2.5,20,$,Sandwiches,RA_42uhZ54ZNmhHduvp0gg,Guerneville,Sonoma County
649,Russian River Pub,38.504316,-122.941268,11829 River Rd,95436,4,265,$$,American (Traditional),uB9SS05j0AEn10UKJCnBKQ,Forestville,Sonoma County
650,The Farmhand,38.51403,-122.98238,15025 River Rd,95446,4.5,91,$$,Delis,OSuBLA-h2Yo6neFMHL0bjw,Guerneville,Sonoma County
651,Huria's,38.5138239,-122.9834976,15045 River Rd,95446,4.5,14,unavailable,Pizza,W31uxkY6fGyouP7Pvvaong,Guerneville,Sonoma County
652,Stumptown Brewery,38.51370827,-122.983609,15045 River Rd,95446,3.5,294,$$,Pubs,5QS9EM4mw9mE1CDPQ_ChAQ,Guerneville,Sonoma County
653,Korbel Delicatessen & Market,38.50787571,-122.9647492,13250 River Rd,95446,4,107,$$,Delis,u8yTbX1lV1-DU6abwt5gQg,Guerneville,Sonoma County
654,Guerneville Gas & Food 2,38.5117493,-122.9846802,15190 River Rd,95446,1,2,unavailable,American (New),q91mu124gk155lcl5r5-bw,Guerneville,Sonoma County
722,Tomat's California Cuisine,38.5194,-121.98728,1123 Grant Ave,95694,4,66,$$,American (New),_vFi-QEeRab2I0nvaXsaQA,Winters,Yolo County/Solano County
723,Goonies Bar & Grill,38.52492,-121.98719,9999 Roosevelt Ave,95694,5,4,unavailable,Sports Bars,3yE_t6d1IhaeNxObHUAneg,Winters,Yolo County/Solano County
724,Preserve,38.52116,-121.96876,200 Railroad Ave,95694,4,414,$$,Lounges,xngM0XdP4_83zDKdOhNQ_Q,Winters,Yolo County/Solano County
725,Ficelle,38.5223,-121.96844,5 E Main St,95694,4.5,151,$$,Spanish,G-ukVJFsW7bqceEMil5nFQ,Winters,Yolo County/Solano County
726,Buckhorn Steakhouse,38.52152,-121.96892,2 Main St,95694,4,625,$$$,Steakhouses,MblC75U3lic6kdoGgFNusw,Winters,Yolo County/Solano County
727,Yolo Traders Bistro,38.52131,-121.96949,30 Main St,95694,5,76,$$,Seafood,dg3Dav-atfrsMJiSYWrMsw,Winters,Yolo County/Solano County
728,Putah Creek Cafe,38.5219312,-121.9691168,1 Main St,95694,3.5,582,$$,Breakfast & Brunch,dn-Fk04R9wd1vy-gi_BcRA,Winters,Yolo County/Solano County
729,Ocean Restaurant,38.52099,-121.97037,104 Main St,95694,4,65,$,Chinese,AdIOhGUQaZres7hr7RmF9w,Winters,Yolo County/Solano County
730,Chuy's Taqueria,38.52116,-121.96875,208 Railroad Ave,95694,3.5,104,$,Mexican,4qCHtqo0WyDykoNOYn9nBg,Winters,Yolo County/Solano County
731,Kountry Kitchen,38.52502,-121.97139,11 Grant Ave,95694,3,23,$,American (Traditional),bCQ5jWLcmis2yKXY8741Sw,Winters,Yolo County/Solano County
732,El Verduzco Taco Truck,38.52486863,-121.9702148,E Grant Ave,95694,4.5,25,$,Food Trucks,OnITjGTnJIJfj-dJBN1b_w,Winters,Yolo County/Solano County
733,El Pueblo Meat Market & Deli,38.521536,-121.9701434,43 Main St,95694,4,65,$,Grocery,qg1q2V3CXrdtZUwb2Vf55A,Winters,Yolo County/Solano County
734,Steady Eddy's Coffee House & Roastery,38.5223,-121.96844,5 E Main St,95694,4.5,138,$,Coffee & Tea,4qhOY6Ye1nZbq0zQZ_IzuQ,Winters,Yolo County/Solano County
735,Lester Farms Bakery,38.52429581,-121.9705429,606 Railroad Ave,95694,4.5,39,$,Bakeries,bi-2296e98GfvEB-UtZ_fw,Winters,Yolo County/Solano County
736,Round Table Pizza,38.5269462,-121.9649626,196 East Grant Ave,95694,3.5,32,$$,Pizza,xeEMUI-E_ArVtUpq3nqnEA,Winters,Yolo County/Solano County
737,Burger King,38.53050889,-121.956439,701 County Rd 90,95694,1.5,20,$,Fast Food,QMz03l57ZLb1ElieUqlj3w,Winters,Yolo County/Solano County
738,Anderson Family Catering & BBQ,38.52173,-121.9706,,95694,5,1,unavailable,Caterers,jHZ8v3Vj_Fs_bKL1AbO1MA,Winters,Yolo County/Solano County
739,Tienda Delicious,38.52121,-121.96977,44 Main St,95694,2.5,3,unavailable,Restaurants,lOSi7StmB3pnNLys77Y8UA,Winters,Yolo County/Solano County
