,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
99,Elks Restaurant of Napa Napa Elks Restaurant,['Restaurants'],Napa,94558.0,38.32015,-122.28386,2.5,4,$,cS5Y17lRh20REvfNdTHo_w,Napa
100,Hunan China Express,['Chinese'],Napa,94558.0,38.294909999999994,-122.30278,3.0,25,$$,HEa99FW7nVEn_SL90beSrQ,Napa
102,KFC,"['Fast Food', 'Chicken Wings', 'Chicken Shop']",Napa,94558.0,38.320159999999994,-122.29899999999999,1.5,47,$,aJPLbbEXaBse-9oBDJPkwA,Napa
104,Pizza Hut,"['Pizza', 'Italian', 'Chicken Wings']",Napa,94558.0,38.3185733,-122.29793070000001,2.0,46,$,LheQkXRf0ra_w-tpkvV2iA,Napa
106,Taqueria La Jerezana,['Mexican'],Napa,94558.0,38.310525659468496,-122.295850378053,3.5,3,Unavailable,C5hKxWSTjAHiKt9UHkwyxg,Napa
107,Burger King,"['Burgers', 'Fast Food']",Napa,94558.0,38.316182,-122.298429,2.5,18,$,sPRHhiIWQvDWqIZ2scv5fA,Napa
108,Round Table Pizza,"['Pizza', 'Desserts', 'Salad']",Napa,94558.0,38.31978,-122.31058999999999,5.0,1,Unavailable,3vyctHlYDt3Fqr0z7VPNEw,Napa
111,Garcia's Restaurant,['Restaurants'],Napa,94558.0,38.3152809,-122.2975082,2.5,7,$,JXYNP4l2x9lAdxIdDiMgaA,Napa
112,China House,['Chinese'],Napa,94558.0,38.315329999999996,-122.29738400000001,3.5,80,$$,8AZTqqEUSOgO9_Yc0Ou1rQ,Napa
113,Round Table Pizza,"['Pizza', 'Buffets']",Napa,94558.0,38.30974000000001,-122.28591999999999,2.0,44,$$,NZxiH2tIziR075z7LsjVVw,Napa
114,Rickys Hotdogs,['Hot Dogs'],Napa,94558.0,38.2966511694911,-122.302615307271,5.0,1,Unavailable,CxEgp3bbGaXE_oUAyXJNLA,Napa
115,Jack in the Box,"['Fast Food', 'Breakfast & Brunch', 'Burgers']",Napa,94558.0,38.321639639629005,-122.304616570473,1.5,28,$,HpgBcWvYTEml-KdhNaXRvA,Napa
116,Subway,"['Sandwiches', 'Fast Food']",Napa,94558.0,38.3193,-122.29818999999999,2.0,21,$,tpb2vhHoRt_jXbdyWy6BEQ,Napa
117,Subway,"['Sandwiches', 'Fast Food']",Napa,94558.0,38.31067,-122.28573,2.5,19,$,SMJJmClDDnZqNoiyeBVfZg,Napa
119,Fairview Market & Deli,['Delis'],Napa,94558.0,38.297275899999995,-122.269199,2.5,4,$,g42RHmZfOSZvhD-jPOlYuQ,Napa
120,Subway,"['Sandwiches', 'Fast Food']",Napa,94558.0,38.2948382,-122.30290990000002,1.5,4,$,ylTE2_Stcs7jPAK4h0lZnA,Napa
121,Stanly Lane Smokehouse,"['Delis', 'Barbeque']",Napa,94558.0,38.259487899999996,-122.30739343799401,4.0,150,$$,vHWW92_sd8fh3DWlIP5qIg,Napa
122,Provisions Napa,['Cafes'],Napa,94558.0,38.249688,-122.27593,5.0,3,Unavailable,LV59G2tSkVejLMnw1qrJqA,Napa
124,Siena Restaurant,"['Italian', 'Breakfast & Brunch', 'Diners']",Napa,94558.0,38.24667394554471,-122.27285385131799,3.5,292,$$,PpH7xQltJhOHcIDy3ppZlg,Napa
125,Blend,"['Coffee & Tea', 'Breakfast & Brunch']",Napa,94558.0,38.245946999999994,-122.27483400000001,4.0,38,$$,RIeCqGwe6NIc0kLT3hEcaw,Napa
126,Villa Romano Italian Cuisine,['Italian'],Napa,94558.0,38.240111,-122.269625,3.0,134,$$,7905iI8VMIaCNdd86zmwtA,Napa
127,McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']",Napa,94558.0,38.28106500000001,-122.27556100000001,2.0,40,$,doMV0bOeThya1fr-25Xleg,Napa
128,Jack's Bar & Grill,['Burgers'],Napa,94558.0,38.2657814025879,-122.27627563476601,3.0,2,$$,VDCGSBVGZAqwnaewmdseuQ,Napa
130,The Campus Kitchen,['Cafes'],Napa,94558.0,38.274322,-122.27774620000001,1.0,1,Unavailable,rohblhouUrZOb1uKo7neyA,Napa
131,Subway,"['Sandwiches', 'Fast Food']",Napa,94558.0,38.25849,-122.27196,2.0,5,$,yXr3su5g2gY8Sq2wRxpfVA,Napa
